tahun,kab_kota,loss_ha,catatan
2015,Kota Baru,20169.7459,
2015,Balangan,2246.6022,
2015,Hulusungai Utara,886.3061,
2015,Tanahbumbu,23401.3613,
2015,Banjar,6580.6603,
2015,Baritokuala,4992.8794,
2015,Hulusungai Selatan,993.2407,
2015,Hulusungai Tengah,673.4425,
2015,Kota Banjarmasin,23.9612,
2015,Tabalong,3938.2608,
2015,Tanahlaut,6411.5724,
2015,Tapin,2974.3858,
2015,Kota Banjarbaru,200.78,
2016,Kota Baru,23471.2632,
2016,Balangan,3608.3826,
2016,Hulusungai Utara,2026.9334,
2016,Tanahbumbu,11945.7372,
2016,Banjar,6794.5878,
2016,Baritokuala,2823.685,
2016,Hulusungai Selatan,1696.0909,
2016,Hulusungai Tengah,780.642,
2016,Kota Banjarmasin,14.3693,
2016,Tabalong,6161.0657,
2016,Tanahlaut,3442.7423,
2016,Tapin,3140.8355,
2016,Kota Banjarbaru,301.6796,
2017,Kota Baru,14239.2826,
2017,Balangan,2583.2888,
2017,Hulusungai Utara,267.1589,
2017,Tanahbumbu,7216.3712,
2017,Banjar,3075.3687,
2017,Baritokuala,789.7636,
2017,Hulusungai Selatan,1072.418,
2017,Hulusungai Tengah,1169.7304,
2017,Kota Banjarmasin,18.9772,
2017,Tabalong,3124.7214,
2017,Tanahlaut,2481.0786,
2017,Tapin,1113.1554,
2017,Kota Banjarbaru,177.4437,
2018,Kota Baru,13508.5572,
2018,Balangan,1742.5041,
2018,Hulusungai Utara,72.2837,
2018,Tanahbumbu,9404.5482,
2018,Banjar,3866.9566,
2018,Baritokuala,1061.308,
2018,Hulusungai Selatan,739.863,
2018,Hulusungai Tengah,608.2884,
2018,Kota Banjarmasin,14.2379,
2018,Tabalong,2224.8477,
2018,Tanahlaut,3034.0035,
2018,Tapin,1171.2648,
2018,Kota Banjarbaru,68.6976,
2019,Kota Baru,13901.6945,
2019,Balangan,2687.8661,
2019,Hulusungai Utara,762.9853,
2019,Tanahbumbu,12571.5895,
2019,Banjar,3862.5919,
2019,Baritokuala,2064.5198,
2019,Hulusungai Selatan,999.9048,
2019,Hulusungai Tengah,969.4905,
2019,Kota Banjarmasin,2.142,
2019,Tabalong,2785.7053,
2019,Tanahlaut,2462.8476,
2019,Tapin,1572.4051,
2019,Kota Banjarbaru,103.7112,
2020,Kota Baru,9442.9743,
2020,Balangan,915.6898,
2020,Hulusungai Utara,554.9618,
2020,Tanahbumbu,3226.5186,
2020,Banjar,2154.1618,
2020,Baritokuala,561.4346,
2020,Hulusungai Selatan,312.2661,
2020,Hulusungai Tengah,311.0073,
2020,Kota Banjarmasin,3.2131,
2020,Tabalong,1646.3734,
2020,Tanahlaut,1231.572,
2020,Tapin,567.5307,
2020,Kota Banjarbaru,77.8223,
2021,Kota Baru,7895.2384,
2021,Balangan,1799.7891,
2021,Hulusungai Utara,63.346,
2021,Tanahbumbu,3526.8104,
2021,Banjar,2224.2706,
2021,Baritokuala,411.9786,
2021,Hulusungai Selatan,555.5893,
2021,Hulusungai Tengah,618.0355,
2021,Kota Banjarmasin,1.5173,
2021,Tabalong,2341.9203,
2021,Tanahlaut,1007.4249,
2021,Tapin,1019.9833,
2021,Kota Banjarbaru,92.5243,
2022,Kota Baru,7084.9329,
2022,Balangan,1105.9819,
2022,Hulusungai Utara,17.8226,
2022,Tanahbumbu,3013.7591,
2022,Banjar,1802.688,
2022,Baritokuala,689.0121,
2022,Hulusungai Selatan,460.8711,
2022,Hulusungai Tengah,438.0475,
2022,Kota Banjarmasin,4.6219,
2022,Tabalong,1277.7018,
2022,Tanahlaut,1050.2514,
2022,Tapin,782.009,
2022,Kota Banjarbaru,62.8938,
2023,Kota Baru,24780.2652,
2023,Balangan,1971.2445,
2023,Hulusungai Utara,500.2594,
2023,Tanahbumbu,7868.4887,
2023,Banjar,4485.5306,
2023,Baritokuala,2474.6773,
2023,Hulusungai Selatan,580.0193,
2023,Hulusungai Tengah,547.2731,
2023,Kota Banjarmasin,13.5671,
2023,Tabalong,3028.3075,
2023,Tanahlaut,3049.9631,
2023,Tapin,1536.8407,
2023,Kota Banjarbaru,244.4976,
2024,Balangan,1625.671833333333,Estimasi rata-rata 2021-2023
2024,Banjar,2837.4964,Estimasi rata-rata 2021-2023
2024,Baritokuala,1191.8893333333333,Estimasi rata-rata 2021-2023
2024,Hulusungai Selatan,532.1599,Estimasi rata-rata 2021-2023
2024,Hulusungai Tengah,534.4520333333334,Estimasi rata-rata 2021-2023
2024,Hulusungai Utara,193.80933333333334,Estimasi rata-rata 2021-2023
2024,Kota Banjarbaru,133.30523333333335,Estimasi rata-rata 2021-2023
2024,Kota Banjarmasin,6.568766666666666,Estimasi rata-rata 2021-2023
2024,Kota Baru,13253.478833333334,Estimasi rata-rata 2021-2023
2024,Tabalong,2215.9765333333335,Estimasi rata-rata 2021-2023
2024,Tanahbumbu,4803.0194,Estimasi rata-rata 2021-2023
2024,Tanahlaut,1702.5464666666667,Estimasi rata-rata 2021-2023
2024,Tapin,1112.9443333333334,Estimasi rata-rata 2021-2023
